secteur_activite;horodate;plage_de_puissance_souscrite;region;nb_points_soutirage;date;temperature_2m_mean;relative_humidity_mean;precipitation_sum;total_energie_soutiree_wh
S2: Industrie;2024-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;252;01/07/2024;15.539584;76.29045;1.5;44101401.0
S2: Industrie;2025-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;252;01/10/2025;12.260417;84.339134;0.0;72355916.0
S2: Industrie;2025-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;244;01/01/2025;7.7999997;84.035126;10.9;27851000.0
S2: Industrie;2024-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;256;01/01/2024;7.3291664;83.61981;5.4;26212749.0
S2: Industrie;2025-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;246;01/07/2025;28.622917;54.615585;0.0;74290500.0
S3: Tertiaire;2024-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;231;01/07/2024;15.539584;76.29045;1.5;36732001.0
S3: Tertiaire;2023-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;219;01/10/2023;17.554167;77.22229;0.0;34447738.0
S3: Tertiaire;2024-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;224;01/01/2024;7.3291664;83.61981;5.4;35163144.0
S3: Tertiaire;2025-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;228;01/04/2025;8.181251;69.14335;0.0;41256947.0
S3: Tertiaire;2023-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;210;01/07/2023;18.114584;75.01564;2.4;38133000.0
S3: Tertiaire;2024-10-01T00:30:00Z;P4: ]250-1000] kVA;Provence-Alpes-Côte d'Azur;2012;01/10/2024;18.739584;86.10247;2.3;87292404.0
S3: Tertiaire;2025-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;231;01/01/2025;7.7999997;84.035126;10.9;36460094.0
S3: Tertiaire;2025-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;228;01/07/2025;28.622917;54.615585;0.0;43018549.0
S3: Tertiaire;2024-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;226;01/04/2024;9.29375;81.74018;2.6;38329660.0
S3: Tertiaire;2025-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;220;01/10/2025;12.260417;84.339134;0.0;38184811.0
S1: Agriculture;2024-10-01T00:30:00Z;P5: ]1000-2000] kVA;Provence-Alpes-Côte d'Azur;1;01/10/2024;18.739584;86.10247;2.3;
S4: Non Affecté;2025-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;1;01/01/2025;7.7999997;84.035126;10.9;
S4: Non Affecté;2024-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;1;01/04/2024;9.29375;81.74018;2.6;
S4: Non Affecté;2023-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;2;01/07/2023;18.114584;75.01564;2.4;
S4: Non Affecté;2024-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;1;01/07/2024;15.539584;76.29045;1.5;
S4: Non Affecté;2024-01-01T01:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;2;01/01/2024;7.3291664;83.61981;5.4;
S4: Non Affecté;2025-04-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;1;01/04/2025;8.181251;69.14335;0.0;
S4: Non Affecté;2025-07-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;0;01/07/2025;28.622917;54.615585;0.0;0.0
S4: Non Affecté;2025-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;0;01/10/2025;12.260417;84.339134;0.0;0.0
S4: Non Affecté;2023-10-01T00:00:00Z;P5: ]1000-2000] kVA;Hauts-de-France;2;01/10/2023;17.554167;77.22229;0.0;
S1: Agriculture;2024-07-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/07/2024;15.539584;76.29045;1.5;0.0
S1: Agriculture;2025-01-01T01:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/01/2025;7.7999997;84.035126;10.9;0.0
S1: Agriculture;2024-01-01T01:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/01/2024;7.3291664;83.61981;5.4;0.0
S1: Agriculture;2023-10-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/10/2023;17.554167;77.22229;0.0;0.0
S1: Agriculture;2023-07-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/07/2023;18.114584;75.01564;2.4;0.0
S1: Agriculture;2025-10-01T00:00:00Z;P6: > 2000 kVA;Hauts-de-France;0;01/10/2025;12.260417;84.339134;0.0;0.0
